Date,Stock,Close,Volume,log_Volume,Return,abs_Return,Volatility,MarketCap
2022-02-15,AAPL,172.7899932861328,62527400,17.95111541863743,0.023152465006342826,0.023152465006342826,0.01930279882901438,4294876856320
2022-02-16,AAPL,172.5500030517578,61177400,17.929288398235766,-0.0013889128057177347,0.0013889128057177347,0.01918789254145218,4294876856320
2022-02-17,AAPL,168.8800048828125,69589300,18.05812137785393,-0.021269186346200564,0.021269186346200564,0.0189677739471254,4294876856320
2022-02-18,AAPL,167.3000030517578,82772700,18.23160885484422,-0.009355766137921773,0.009355766137921773,0.018805046831021823,4294876856320
2022-02-22,AAPL,164.32000732421875,91162800,18.32815747709603,-0.017812287347162448,0.017812287347162448,0.019056512234671388,4294876856320
2022-02-23,AAPL,160.07000732421875,90009200,18.315422445292427,-0.02586416632525068,0.02586416632525068,0.01956949095847769,4294876856320
2022-02-24,AAPL,162.74000549316406,141147500,18.76531600085265,0.01668019020913314,0.01668019020913314,0.019566025762653847,4294876856320
2022-02-25,AAPL,164.85000610351562,91974200,18.33701866090152,0.012965469700934706,0.012965469700934706,0.01974559120104078,4294876856320
2022-02-28,AAPL,165.1199951171875,95056600,18.369983061626414,0.0016377858882354879,0.0016377858882354879,0.019486415145533505,4294876856320
2022-03-01,AAPL,163.1999969482422,83474400,18.240050555987388,-0.011627896231359958,0.011627896231359958,0.019538572027134306,4294876856320
2022-03-02,AAPL,166.55999755859375,79724800,18.194091262233854,0.02058823941900667,0.02058823941900667,0.019674907770578433,4294876856320
2022-03-03,AAPL,166.22999572753906,76678400,18.155130609987662,-0.001981279033932526,0.001981279033932526,0.019291957386692322,4294876856320
2022-03-04,AAPL,163.1699981689453,83737200,18.24319388116797,-0.01840821534766368,0.01840821534766368,0.019498618637425937,4294876856320
2022-03-07,AAPL,159.3000030517578,96418800,18.384211761313587,-0.02371756548762427,0.02371756548762427,0.01984356364377751,4294876856320
2022-03-08,AAPL,157.44000244140625,131148300,18.691839301936188,-0.011676086470301161,0.011676086470301161,0.019934493086880643,4294876856320
2022-03-09,AAPL,162.9499969482422,91454900,18.331356512557637,0.034997423916368176,0.034997423916368176,0.02085344515851468,4294876856320
2022-03-10,AAPL,158.52000427246094,105342000,18.4727227579794,-0.027186209013482565,0.027186209013482565,0.021473438328330118,4294876856320
2022-03-11,AAPL,154.72999572753906,96970100,18.389913241526976,-0.02390870831928371,0.02390870831928371,0.021908415531296046,4294876856320
2022-03-14,AAPL,150.6199951171875,108732100,18.50439761668423,-0.026562403695717718,0.026562403695717718,0.01791457501016512,4294876856320
2022-03-15,AAPL,155.08999633789062,92964300,18.347726106452466,0.029677342754030223,0.029677342754030223,0.018130518738295506,4294876856320
2022-03-16,AAPL,159.58999633789062,102300200,18.443422185954155,0.02901541109199557,0.02901541109199557,0.01909385871229443,4294876856320
2022-03-17,AAPL,160.6199951171875,75615400,18.141170524108684,0.006454030972694147,0.006454030972694147,0.019083647924160282,4294876856320
2022-03-18,AAPL,163.97999572753906,123511700,18.63184644638716,0.020918943546848645,0.020918943546848645,0.019374547190249627,4294876856320
2022-03-21,AAPL,165.3800048828125,95811400,18.377892233773718,0.008537682593916074,0.008537682593916074,0.01945993277748714,4294876856320
2022-03-22,AAPL,168.82000732421875,81532000,18.216506139185757,0.0208005946295855,0.0208005946295855,0.019858038662799154,4294876856320
2022-03-23,AAPL,170.2100067138672,98062700,18.40111762797106,0.008233617636201895,0.008233617636201895,0.019609735158148112,4294876856320
2022-03-24,AAPL,174.07000732421875,90131400,18.316779163530782,0.02267787120671727,0.02267787120671727,0.02000917185206092,4294876856320
2022-03-25,AAPL,174.72000122070312,80546200,18.204341490807163,0.003734094727035453,0.003734094727035453,0.01952469392762411,4294876856320
2022-03-28,AAPL,175.60000610351562,90371900,18.319443936333453,0.005036657947940837,0.005036657947940837,0.01913290599327617,4294876856320
2022-03-29,AAPL,178.9600067138672,100589400,18.426557442285098,0.019134399166084615,0.019134399166084615,0.01940100658365596,4294876856320
2022-03-30,AAPL,177.77000427246094,92633200,18.34415816667691,-0.006649544014093012,0.006649544014093012,0.01904647333044778,4294876856320
2022-03-31,AAPL,174.61000061035156,103049300,18.450718072458653,-0.017775797863323284,0.017775797863323284,0.019353491036559655,4294876856320
2022-04-01,AAPL,174.30999755859375,78751300,18.18180534347027,-0.0017181321270783867,0.0017181321270783867,0.018916751539459285,4294876856320
2022-04-04,AAPL,178.44000244140625,76468400,18.152388141563645,0.023693448113463633,0.023693448113463633,0.01923871861303418,4294876856320
2022-04-05,AAPL,175.05999755859375,73401800,18.11145901644482,-0.018941968373500706,0.018941968373500706,0.019280562392270176,4294876856320
2022-04-06,AAPL,171.8300018310547,89058800,18.304807383704624,-0.018450792714411857,0.018450792714411857,0.018951955338862746,4294876856320
2022-04-07,AAPL,172.13999938964844,77594700,18.167009683851894,0.0018040944846089424,0.0018040944846089424,0.01876287647575623,4294876856320
2022-04-08,AAPL,170.08999633789062,76575500,18.153787740207992,-0.01190892912179875,0.01190892912179875,0.018813121500707866,4294876856320
2022-04-11,AAPL,165.75,72246700,18.09559720917321,-0.025515882364234077,0.025515882364234077,0.019434964036361246,4294876856320
